2104,3,399900
1600,3,329900
2400,3,489000
1416,2,272000
3000,4,539900
1985,4,399900
1534,3,314900
1427,3,298999
1380,3,222000
1494,3,292500
1940,4,389999
2000,3,377000
1890,3,359999
4478,5,799900
1268,3,219900
2300,4,449900
1320,2,249900
1236,3,249900
2609,4,499998
3031,4,599000
1767,3,352900
1888,2,355000
1604,3,342900
1962,4,359900
3890,3,773900
1100,3,249900
1458,3,364500
2526,3,489000
2200,3,455000
2637,3,499900
1839,2,369900
1000,1,199900
2040,4,414900
3137,3,609900
1811,4,385900
1437,3,269900
1239,3,229900
2132,4,385000
4215,4,749000
2162,4,387000
1664,2,338500
2238,3,429900
2567,4,514000
1200,3,239000
1352,2,379900
1852,4,359900
1203,3,239500
